"COUNTRY","Country","LANDINGS","Marine landings","SPECIES","Species","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2003","2003","TONNE","Tonnes","0","Units",,,57259,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2004","2004","TONNE","Tonnes","0","Units",,,58029,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2005","2005","TONNE","Tonnes","0","Units",,,56901,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2006","2006","TONNE","Tonnes","0","Units",,,45888,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2007","2007","TONNE","Tonnes","0","Units",,,59771,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2008","2008","TONNE","Tonnes","0","Units",,,49912,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2009","2009","TONNE","Tonnes","0","Units",,,47697,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2010","2010","TONNE","Tonnes","0","Units",,,51423,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2011","2011","TONNE","Tonnes","0","Units",,,45875,,
"JPN","Japan","LAND_TOTAL","TOTAL LANDINGS","81","PEARLS, MOTHER-OF-PEARL, SHELLS","TON","Tonne","2012","2012","TONNE","Tonnes","0","Units",,,43329,,
